name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
[指令] 船体轻微损坏时撤退,automated_retreat_damage_low,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.hulldamage.Low,命令舰船在船体完整性低于 90%% 时撤退 . 命令仅会发出一次.,,graphics/automatedcommands/retreat_hull_below_90.png
[指令] 船体中度损坏时撤退,automated_retreat_damage_med,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.hulldamage.Medium,命令舰船在船体完整性低于 60%% 时撤退 . 命令仅会发出一次.,,graphics/automatedcommands/retreat_hull_below_60.png
[指令] 船体严重损坏时撤退,automated_retreat_damage_high,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.hulldamage.High,命令舰船在当船体完整性低于 30%% 时撤退 . 命令仅会发出一次.,,graphics/automatedcommands/retreat_hull_below_30.png
[指令] 舰船无导弹库存时撤退,automated_retreat_no_missile,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.MissileAmmoDepleted,命令舰船在没有导弹弹药的情况下撤退 . 命令仅会发出一次.,,graphics/automatedcommands/out_of_missiles.png
[指令] 舰船最佳性能时间结束时撤退,automated_retreat_cr_below_100,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.High,命令舰船在最佳性能时间结束开始下降时撤退 . 命令仅会发出一次.,,graphics/automatedcommands/cr_ppt_finished_retreat.png
[指令] 舰船CR水平为60%时撤退,automated_retreat_cr_below_60,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.Medium,命令舰船在CR值为 60%% 时撤退.命令仅会发出一次,,graphics/automatedcommands/cr_malfunction_retreat.png
[指令] 舰船CR水平为40%时撤退,automated_retreat_cr_below_40,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.Low,命令舰船在CR值为 40%% 时撤退.命令仅会发出一次,,graphics/automatedcommands/cr_critical_malfunction_retreat.png
[指令] 舰船CR水平为0%时撤退,automated_retreat_cr_finished,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.None,命令舰船在CR值为 0%% 时撤退.命令仅会发出一次,,graphics/automatedcommands/cr_none_retreat.png
[性格覆盖] 胆小,automated_personality_timid,,,自动指令,"no_built_in, automated, personality",,,TRUE,,,0,0,0,0,data.hullmods.personality.Timid,将没有副官指挥的舰船行动风格指定为胆小，如果有副官驾驶，则无效,,graphics/automatedcommands/personality_timid.png
[性格覆盖] 谨慎,automated_personality_cautious,,,自动指令,"no_built_in, automated, personality",,,TRUE,,,0,0,0,0,data.hullmods.personality.Cautious,将没有副官指挥的舰船行动风格指定为谨慎，如果有副官驾驶，则无效,,graphics/automatedcommands/personality_cautious.png
[性格覆盖] 沉稳,automated_personality_steady,,,自动指令,"no_built_in, automated, personality",,,TRUE,,,0,0,0,0,data.hullmods.personality.Steady,将没有副官指挥的舰船行动风格指定为沉着，如果有副官驾驶，则无效,,graphics/automatedcommands/personality_steady.png
[性格覆盖] 激进,automated_personality_aggressive,,,自动指令,"no_built_in, automated, personality",,,TRUE,,,0,0,0,0,data.hullmods.personality.Aggressive,将没有副官指挥的舰船行动风格指定为激进，如果有副官驾驶，则无效,,graphics/automatedcommands/personality_aggressive.png
[性格覆盖] 鲁莽,automated_personality_reckless,,,自动指令,"no_built_in, automated, personality",,,TRUE,,,0,0,0,0,data.hullmods.personality.Reckless,将没有副官指挥的舰船行动风格指定为鲁莽，如果有副官驾驶，则无效,,graphics/automatedcommands/personality_reckless.png
[特殊指令] 强制主动排辐,automated_vent_80,,,自动指令,"no_built_in, automated",,,TRUE,,,0,0,0,0,data.hullmods.BaseVenting,"在辐能达到 80%% 时强制ai舰船主动排辐, 这不会在玩家手动驾驶时起效果",,graphics/automatedcommands/vent_flux_at_80.png
