name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
"[Dam1] Retreat on slight hull damage",automated_retreat_damage_low,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.hulldamage.Low,"Orders the ship to retreat when falling below 90%% hull integrity.%n%nThis order will only be given once.",,graphics/automatedcommands/retreat_hull_below_90.png
"[Dam2] Retreat on medium hull damage",automated_retreat_damage_med,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.hulldamage.Medium,"Orders the ship to retreat when falling below 60%% hull integrity.%n%nThis order will only be given once.",,graphics/automatedcommands/retreat_hull_below_60.png
"[Dam3] Retreat on heavy hull damage",automated_retreat_damage_high,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.hulldamage.High,"Orders the ship to retreat when falling below 30%% hull integrity.%n%nThis order will only be given once.",,graphics/automatedcommands/retreat_hull_below_30.png
"[Msl] Retreat when no missiles left",automated_retreat_no_missile,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.MissileAmmoDepleted,"Orders the ship to retreat when it has no missile ammo left.%n%nThis order will only be given once.",,graphics/automatedcommands/out_of_missiles.png
"[CR1] Retreat on degraded performance",automated_retreat_cr_below_100,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.High,"Orders the ship to retreat when it has exceeded its peak performance time.%n%nThis order will only be given once.",,graphics/automatedcommands/cr_ppt_finished_retreat.png
"[CR2] Retreat on low performance",automated_retreat_cr_below_60,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.Medium,"Orders the ship to retreat when it has exceeded its peak performance time and it is below 60%% Combat Readiness.%n%nThis order will only be given once.",,graphics/automatedcommands/cr_malfunction_retreat.png
"[CR3] Retreat on possible malfunction",automated_retreat_cr_below_40,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.Low,"Orders the ship to retreat when it has exceeded its peak performance time and it is below 40%% Combat Readiness.%n%nThis order will only be given once.",,graphics/automatedcommands/cr_critical_malfunction_retreat.png
"[CR4] Retreat on CR gone",automated_retreat_cr_finished,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.retreat.cr.None,"Orders the ship to retreat when it has 0%% Combat Readiness left.%n%nThis order will only be given once.",,graphics/automatedcommands/cr_none_retreat.png
"[Per1] Assign timid personality",automated_personality_timid,,,AutoCommands,"automated, personality, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.personality.Timid,"Assigns a %s personality to this ship.%n%nDoes not override the personality of an assigned officer.",,graphics/automatedcommands/personality_timid.png
"[Per2] Assign cautious personality",automated_personality_cautious,,,AutoCommands,"automated, personality, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.personality.Cautious,"Assigns a %s personality to this ship.%n%nDoes not override the personality of an assigned officer.",,graphics/automatedcommands/personality_cautious.png
"[Per3] Assign steady personality",automated_personality_steady,,,AutoCommands,"automated, personality, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.personality.Steady,"Assigns a %s personality to this ship.%n%nDoes not override the personality of an assigned officer.",,graphics/automatedcommands/personality_steady.png
"[Per4] Assign aggressive personality",automated_personality_aggressive,,,AutoCommands,"automated, personality, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.personality.Aggressive,"Assigns an %s personality to this ship.%n%nDoes not override the personality of an assigned officer.",,graphics/automatedcommands/personality_aggressive.png
"[Per5] Assign reckless personality",automated_personality_reckless,,,AutoCommands,"automated, personality, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.personality.Reckless,"Assigns a %s personality to this ship.%n%nDoes not override the personality of an assigned officer.",,graphics/automatedcommands/personality_reckless.png
"[Vent] Vent at high flux",automated_vent_80,,,AutoCommands,"automated, no_build_in",,,TRUE,,,0,0,0,0,data.hullmods.BaseVenting,"Vents when at 80%% flux%n%nThis does not work while the player is pilotting, not even on auto-pilot.",,graphics/automatedcommands/vent_flux_at_80.png
